experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,db_only,dbonly,1,80.938,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,2,21.124,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,3,19.356,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,4,15.701,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,5,12.693,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,6,11.464,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,7,11.755,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,8,13.9,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,9,14.149,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,10,12.21,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,11,12.689,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,12,13.277,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,13,11.354,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,14,10.974,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,15,14.584,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,16,8.985,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,17,11.927,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,18,11.011,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,19,13.299,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,20,11.936,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,21,12.2,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,22,12.847,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,23,10.47,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,24,13.162,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,25,14.322,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,26,8.57,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,27,12.892,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,28,11.816,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,29,12.001,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,30,11.508,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,31,9.387,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,32,16.72,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,33,14.347,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,34,8.611,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,35,9.383,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,36,10.421,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,37,6.72,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,38,6.649,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,39,8.838,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,40,8.827,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,41,24.032,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,42,18.83,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,43,16.825,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,44,11.4,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,45,12.112,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,46,6.824,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,47,13.414,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,48,6.153,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,49,9.673,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,50,11.545,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,51,9.823,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,52,8.508,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,53,5.804,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,54,9.257,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,55,9.979,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,56,8.284,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,57,6.12,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,58,9.854,200,linux_x86_64
