experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,fabric2,1,65.236,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,2,20.909,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,3,26.572,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,4,19.009,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,5,16.924,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,6,16.362,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,7,17.676,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,8,16.596,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,9,15.795,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,10,13.357,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,11,14.601,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,12,19.407,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,13,15.522,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,14,14.722,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,15,15.411,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,16,14.142,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,17,17.127,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,18,14.408,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,19,15.356,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,20,17.898,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,21,17.422,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,22,14.19,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,23,12.256,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,24,15.475,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,25,12.088,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,26,12.373,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,27,12.44,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,28,14.103,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,29,13.594,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,30,11.424,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,31,11.367,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,32,13.215,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,33,11.26,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,34,12.206,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,35,15.563,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,36,13.404,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,37,13.442,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,38,17.965,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,39,13.126,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,40,12.32,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,41,14.582,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,42,16.278,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,43,14.432,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,44,12.941,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,45,10.109,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,46,11.891,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,47,10.498,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,48,12.034,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,49,11.743,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,50,11.334,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,51,12.045,200,linux_x86_64
