experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,fabric1,1,25.222,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,2,18.609,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,3,15.708,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,4,14.066,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,5,17.758,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,6,14.601,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,7,14.233,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,8,15.27,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,9,15.55,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,10,19.818,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,11,14.997,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,12,16.192,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,13,13.995,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,14,19.812,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,15,14.018,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,16,11.257,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,17,10.961,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,18,13.447,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,19,15.221,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,20,12.399,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,21,12.568,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,22,12.682,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,23,11.485,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,24,17.126,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,25,19.413,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,26,21.744,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,27,17.742,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,28,13.063,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,29,11.595,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,30,10.923,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,31,10.939,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,32,13.979,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,33,13.392,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,34,10.609,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,35,10.329,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,36,9.817,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,37,11.033,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,38,11.608,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,39,11.792,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,40,11.881,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,41,11.743,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,42,12.58,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,43,10.499,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,44,10.048,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,45,11.029,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,46,11.458,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,47,13.026,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,48,11.632,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,49,12.463,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,50,18.162,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,51,15.615,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,52,41.53,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,53,21.033,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,54,15.675,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,55,11.843,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,56,11.468,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,57,10.024,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,58,13.662,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,59,15.322,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,60,14.393,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,61,12.15,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,62,9.958,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,63,10.827,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,64,9.807,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,65,9.102,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,66,9.199,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,67,9.428,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,68,10.14,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,69,11.77,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,70,10.848,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,71,14.038,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,72,13.192,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,73,12.0,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,74,10.957,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,75,12.288,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,76,10.624,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,77,10.456,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,78,12.056,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,79,9.356,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,80,9.829,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,81,13.624,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,82,11.395,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,83,11.268,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,84,9.976,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,85,9.377,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,86,9.646,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,87,12.526,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,88,11.213,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,89,10.723,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,90,9.786,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,91,9.471,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,92,10.189,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,93,9.054,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,94,8.785,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,95,8.514,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,96,9.344,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,97,10.04,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,98,12.6,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,99,8.682,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,100,9.64,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,101,9.427,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,102,11.307,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,103,9.823,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,104,8.912,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,105,8.989,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,106,8.235,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,107,10.772,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,108,10.659,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,109,11.231,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,110,11.762,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,111,11.917,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,112,10.379,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,113,9.672,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,114,9.751,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,115,12.582,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,116,12.016,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,117,12.262,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,118,13.163,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,119,9.134,200,linux_x86_64
exp2,checkaccess,fabric,fabric1,120,9.735,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,1,62.83,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,2,14.559,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,3,15.52,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,4,11.704,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,5,10.094,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,6,13.422,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,7,10.45,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,8,13.473,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,9,8.195,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,10,15.331,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,11,9.018,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,12,11.273,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,13,12.143,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,14,8.529,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,15,8.74,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,16,8.082,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,17,12.147,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,18,7.756,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,19,11.441,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,20,9.72,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,21,12.375,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,22,10.801,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,23,8.423,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,24,8.136,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,25,9.994,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,26,9.778,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,27,7.737,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,28,8.482,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,29,6.831,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,30,9.084,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,31,9.215,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,32,8.922,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,33,7.363,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,34,8.236,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,35,24.545,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,36,22.549,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,37,13.486,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,38,7.545,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,39,10.377,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,40,7.56,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,41,12.44,200,linux_x86_64
