DOC_REGISTERED|2026-09-14 06:24:04.326745+00
RELEASE_DECISION|2026-09-14 06:24:05.196798+00
ACCESS_DENIED|2026-09-14 06:24:05.19989+00
ACCESS_GRANTED|2026-09-14 06:24:05.70274+00
ACCESS_REVOKED|2026-09-14 06:24:07.786743+00
RELEASE_DECISION|2026-09-14 06:24:07.820321+00
ACCESS_DENIED|2026-09-14 06:24:07.822388+00
RELEASE_DECISION|2026-09-14 06:24:07.844617+00
ACCESS_DENIED|2026-09-14 06:24:07.846904+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-14 06:24:21.272644+00
ACCESS_REVOKED_LEDGER_SYNCED|2026-09-14 06:24:23.344663+00
RELEASE_DECISION|2026-09-14 06:24:24.047822+00
ACCESS_DENIED|2026-09-14 06:24:24.054646+00
