DOC_REGISTERED|2026-09-14 06:21:47.687506+00
RELEASE_DECISION|2026-09-14 06:21:48.45597+00
ACCESS_DENIED|2026-09-14 06:21:48.458347+00
ACCESS_GRANTED|2026-09-14 06:21:48.86879+00
RELEASE_DECISION|2026-09-14 06:21:48.932941+00
ACCESS_DENIED|2026-09-14 06:21:48.935684+00
RELEASE_DECISION|2026-09-14 06:21:48.958834+00
ACCESS_DENIED|2026-09-14 06:21:48.961047+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-14 06:22:03.580083+00
RELEASE_DECISION|2026-09-14 06:22:05.15356+00
DOC_VIEWED|2026-09-14 06:22:05.15651+00
