size_mb,cid,node,replica_index,pin_ms,repo_delta_bytes
1,QmUZgYtKr5q5MoX2mWgd7Vmk2K2J5Na4TXHsPb2uc2vMaC,node2,2,33.8,1065696
1,QmUZgYtKr5q5MoX2mWgd7Vmk2K2J5Na4TXHsPb2uc2vMaC,node3,3,43.0,1049312
1,QmNi8GkvLPbi5KR6JRdFbEgTQpj6sXDVg4ELvyVdPDLoGj,node2,2,30.1,1065696
1,QmNi8GkvLPbi5KR6JRdFbEgTQpj6sXDVg4ELvyVdPDLoGj,node3,3,47.3,1049312
1,QmZfVc2qGkUFm1omqjLSnJF1kjGFytCajL3yvHjMpEthtY,node2,2,36.7,1069792
1,QmZfVc2qGkUFm1omqjLSnJF1kjGFytCajL3yvHjMpEthtY,node3,3,47.5,1049312
1,QmXUAw98BEZzT7zkc9WABCTbgSqVnvd8qAz4tsvNTjn3n4,node2,2,33.7,1069792
1,QmXUAw98BEZzT7zkc9WABCTbgSqVnvd8qAz4tsvNTjn3n4,node3,3,45.0,1049312
1,QmQvqVf9UieCz68mUxdaMJz2K35iCJJSdjHTuugtiDFTjM,node2,2,34.6,1061600
1,QmQvqVf9UieCz68mUxdaMJz2K35iCJJSdjHTuugtiDFTjM,node3,3,41.3,1049312
10,QmdKQVJt1PFnzdXFz6PFUSGeVd4qezqA5hEdgteg3i3qSH,node2,2,90.0,10632031
10,QmdKQVJt1PFnzdXFz6PFUSGeVd4qezqA5hEdgteg3i3qSH,node3,3,123.2,10488671
10,QmXjQSA7YEtP7EwmdAZpwTHSB8wuZAzFF2CczmeU9JC3XP,node2,2,84.1,10632076
10,QmXjQSA7YEtP7EwmdAZpwTHSB8wuZAzFF2CczmeU9JC3XP,node3,3,105.9,10488716
10,QmYhfPAsGJoEAcNFP7dQMFzKqNFvUhBtUD3APsHTJFsyBo,node2,2,74.1,10632076
10,QmYhfPAsGJoEAcNFP7dQMFzKqNFvUhBtUD3APsHTJFsyBo,node3,3,130.8,10488716
10,Qmcq8vRQoybFXmyhrd9CvuYezSqJD95CJwbx8tTfrjz6Q6,node2,2,86.9,10619788
10,Qmcq8vRQoybFXmyhrd9CvuYezSqJD95CJwbx8tTfrjz6Q6,node3,3,98.6,10488716
10,QmTQLG9jftiaJiX42nbwYfBk26zmuY62en86hLwqZeSJZX,node2,2,88.9,10599308
10,QmTQLG9jftiaJiX42nbwYfBk26zmuY62en86hLwqZeSJZX,node3,3,100.6,10488716
25,QmS2RGuXNRpQNQ6PpSbifPGsLy6jFucvZcQeUDDd3BcKAe,node2,2,173.3,26515988
25,QmS2RGuXNRpQNQ6PpSbifPGsLy6jFucvZcQeUDDd3BcKAe,node3,3,224.3,26221076
25,QmcWbxZABqRTHv1PQhu757ak8AWn4mR8L65nNy2nzkVfJU,node2,2,158.5,26462740
25,QmcWbxZABqRTHv1PQhu757ak8AWn4mR8L65nNy2nzkVfJU,node3,3,185.9,26221076
25,QmZ7N5DuxZRDYvFBBPfGm6Lj3HNQg4CwAEJ7Fin47AMu3N,node2,2,173.5,26483220
25,QmZ7N5DuxZRDYvFBBPfGm6Lj3HNQg4CwAEJ7Fin47AMu3N,node3,3,160.6,26221076
25,Qmd7ePmToDdZqRVqgeeJCKz7wHXGu7zy635WaQbNQoCp3B,node2,2,156.1,26409492
25,Qmd7ePmToDdZqRVqgeeJCKz7wHXGu7zy635WaQbNQoCp3B,node3,3,179.7,26221076
25,QmbYtPg2cMX9Ehq8VvFS96SKAeENCXFCvtrS1W94EhXHeU,node2,2,155.5,26429972
25,QmbYtPg2cMX9Ehq8VvFS96SKAeENCXFCvtrS1W94EhXHeU,node3,3,141.4,26221076
50,QmPYD7KbA9ezBDZJmbyaXgGYoa65EQdianCfwu1poJ7366,node2,2,269.7,52748994
50,QmPYD7KbA9ezBDZJmbyaXgGYoa65EQdianCfwu1poJ7366,node3,3,226.4,52441794
50,QmRLf53H3CQWU9T6SprHMfCsNmHjLPnSPnDxgFZjFaxuno,node2,2,289.9,52690252
50,QmRLf53H3CQWU9T6SprHMfCsNmHjLPnSPnDxgFZjFaxuno,node3,3,240.0,52441794
50,QmQBuxHNfs8GVkqyTLKCp5e72R3GxBLMx9QN3we4gsqoWG,node2,2,296.7,52671330
50,QmQBuxHNfs8GVkqyTLKCp5e72R3GxBLMx9QN3we4gsqoWG,node3,3,217.4,52441794
50,Qmcjp7WyWYFVyj6Fxa6ZHpuDPisLRRnY4xqjFZhduhnKDX,node2,2,328.7,52601538
50,Qmcjp7WyWYFVyj6Fxa6ZHpuDPisLRRnY4xqjFZhduhnKDX,node3,3,225.4,52441794
50,QmRNd3EiorCvqgBcEuFosGSRLvf74wJL4qfXiKE7wd9EiM,node2,2,307.7,52613826
50,QmRNd3EiorCvqgBcEuFosGSRLvf74wJL4qfXiKE7wd9EiM,node3,3,232.0,52441794
