scenario,sample,cid,ok,latency_ms,bytes,error
all_up,0,QmarzW68h3phTVH13y2rTaSDDUfJExtQRE3HLthcQUT9Jw,1,266.5,10485760,
all_up,1,QmcmMCWJeBGqvktSvQjsr6TkBCwAekQw5zwhC8UBg7s6Qe,1,234.5,10485760,
all_up,2,QmZMey8KE1BMMNGcDsTDfuq8GxcCDoDLdDBqzLKi1Y16Bp,1,236.4,10485760,
all_up,3,QmXeqjdg9x4sXLPwTA7aNiv3He69MoGKeGGBMjE1UmnHDy,1,200.1,10485760,
all_up,4,QmPham17tA4fz6gWue6j2WrQb4NHVA5Cbkmw8yeamEPzYG,1,198.0,10485760,
all_up,5,QmXzTyGnVURbKS7GCBiKKWPXDmWheKH7YWTY4TEU6TDivx,1,193.4,10485760,
all_up,6,QmcH4UUMxbQ7vChkvfCr5H4PASv7K6NRjKk4w3LPZnyW7w,1,189.1,10485760,
all_up,7,QmRWhHrJnjaLZAFHghze9XwHNeS3zaQ5EyWH6XH99TqcxY,1,206.0,10485760,
all_up,8,QmTiRaecNd56HWkWbz1qSWLePU3eSfuRhjC3EipLPWQaNk,1,204.1,10485760,
all_up,9,Qmd7tbCCxjg1Ky41eoi2xydSMGxdBHSMsDCUuvRwPG8Rrp,1,172.2,10485760,
one_replica_down,0,QmZTEguPoerMHUEvrtLgzsCx9qSESvyYRNcdHtS4Yais1u,1,232.2,10485760,
one_replica_down,1,QmfPh2YjkuMHNr36mSasxfTi96gQGwyydfkqknwV9Ye1ZV,1,206.5,10485760,
one_replica_down,2,QmNw84QJ2z3XeGUKgXBykdsbEyeWjm6HgCbA2kWtmzXmkw,1,222.9,10485760,
one_replica_down,3,QmTDb2fiFvWRED4yoNpWSPMKbmoTho7EUEo7HKoDMutHS2,1,196.1,10485760,
one_replica_down,4,QmdYHeBKn4uzQ8SYwjZpuqYKSBhjRLM77qzGX9QmhShp2J,1,208.1,10485760,
one_replica_down,5,QmPz9tMXhoWAiS1hJX59BjP5kRuKp7RBKxeqxGsWn7fGTw,1,177.2,10485760,
one_replica_down,6,QmNXfY2pjN96HTYrdcccEfkTnweTgRbsRmnExQpie8GR6c,1,206.1,10485760,
one_replica_down,7,QmYZJ9Z4gHij4rZmy6Fj6b7EMsgLUJABkSzFrsAqu3ohEW,1,217.1,10485760,
one_replica_down,8,QmQk5MDhck32eSuYgUmo5XtYsSdpYZdYnagEYvsVaeEQ3k,1,188.6,10485760,
one_replica_down,9,QmdwmjWZ6NhZbBhxTfeZtjavDzGvET1ne5ZVmEYg2aJGNa,1,183.2,10485760,
all_replicas_down,0,QmWZXJMbMHr2FR3MaE1U6EQqFowZwpkMkNmXdqB5GVaKxx,0,10009.9,0,TimeoutError
all_replicas_down,1,QmWR6JsYenp2Rb2dAENSgvaA8VstxKzuJrkarfeB6qWsnB,0,10010.5,0,TimeoutError
all_replicas_down,2,QmW2et2QqFsLGLtY3UaU3dJkuyXZmwXD1aDqmNMk7qEnZT,0,10010.5,0,TimeoutError
all_replicas_down,3,QmTpbxZ3gvgTtd2DuVHhNyE7YsbZW17dqHLj8QH8eGrZAD,0,10010.5,0,TimeoutError
all_replicas_down,4,QmYEPGxeZybT7iuJKV1dqgVK4JJD3AzkPzzDUwsWW9nB7G,0,10004.8,0,TimeoutError
all_replicas_down,5,QmV1jgKgKGqNAnKTNERkPfBAgJZ74wV7mc7Pgezn5hhjcu,0,10002.0,0,TimeoutError
all_replicas_down,6,Qmexgx4m4e7h2Gx8Aiz9HzA5NfTL14Bgo6rDMZm7356PEF,0,10002.1,0,TimeoutError
all_replicas_down,7,QmRKS169p5B5y7N2npgyUs8d9wMskHT8C3W3W2HsUK25bt,0,10010.6,0,TimeoutError
all_replicas_down,8,QmfCZUwL1s9DK9bGc2o1TNGKSGw6C6FK5vfzaWtUiHHsV7,0,10003.9,0,TimeoutError
all_replicas_down,9,QmPqvP3kGgtazXVZrds2UsNf4e78GnYfshRN7Rm5HoFvdj,0,10010.5,0,TimeoutError
recovery,0,QmePPQnA7DSDknWgVWV7H6d6p7qTsJGWQpZJUVmx5Uwfm3,1,241.3,10485760,
recovery,1,QmTnhXxP4prZYJpRDJyS1NhPbof6SMNB2RqK7h2BirUkjz,1,236.7,10485760,
recovery,2,QmewM9zgcs2huahS9bUxHhuWC49YPKjTM3dbFMjSHECaEK,1,206.8,10485760,
recovery,3,QmfLNLZ2JVNaS77BRFeM6QMj34x5YJNNYnQmXNEwoxgPXp,1,221.7,10485760,
recovery,4,QmWzLpfAuxWkAKm6tJcFLePsybHRMkoJETmGzoLNiqqW8b,1,202.1,10485760,
recovery,5,QmUh9X18S45WF69zTdt28ExU9DYa19te7tpQ518Crcyihp,1,208.8,10485760,
recovery,6,QmWSFoXy9JmfnTKhuoiLuqBGbRnhGfyNooYg1Jdd9jhbnB,1,189.6,10485760,
recovery,7,QmeErSTkFKQhcQZDPcEgXoKT9Emhmh4jp6Ksx4QjKh8DeA,1,236.1,10485760,
recovery,8,QmWLXJ9HKscjgA9x8hR4d8XhZhZRr9aTp3qsxMa5BH81Vg,1,184.5,10485760,
recovery,9,QmQ1AxCD4LRHTtKSyKshW7AbTKp36Bc2w29Hin7NuP8kjw,1,214.4,10485760,
