size_mb,concurrency,source,sample,ok,latency_ms,bytes,error
1,1,local,0,1,15.5,1048576,
1,1,local,1,1,11.1,1048576,
1,1,local,2,1,6.4,1048576,
1,1,local,3,1,10.2,1048576,
1,1,local,4,1,5.8,1048576,
1,1,local,5,1,6.1,1048576,
1,1,local,6,1,6.9,1048576,
1,1,local,7,1,11.6,1048576,
1,1,local,8,1,12.7,1048576,
1,1,local,9,1,6.6,1048576,
1,1,local,10,1,6.4,1048576,
1,1,local,11,1,12.9,1048576,
1,1,local,12,1,8.3,1048576,
1,1,local,13,1,13.0,1048576,
1,1,local,14,1,6.9,1048576,
1,1,local,15,1,6.2,1048576,
1,1,local,16,1,9.7,1048576,
1,1,local,17,1,13.0,1048576,
1,1,local,18,1,7.9,1048576,
1,1,local,19,1,13.4,1048576,
1,1,local,20,1,6.7,1048576,
1,1,local,21,1,12.3,1048576,
1,1,local,22,1,9.8,1048576,
1,1,local,23,1,6.3,1048576,
1,8,local,0,1,48.4,1048576,
1,8,local,1,1,37.9,1048576,
1,8,local,2,1,39.4,1048576,
1,8,local,3,1,39.4,1048576,
1,8,local,4,1,64.3,1048576,
1,8,local,5,1,54.9,1048576,
1,8,local,6,1,53.1,1048576,
1,8,local,7,1,33.2,1048576,
1,8,local,8,1,37.8,1048576,
1,8,local,9,1,33.3,1048576,
1,8,local,10,1,37.7,1048576,
1,8,local,11,1,32.0,1048576,
1,8,local,12,1,46.9,1048576,
1,8,local,13,1,66.7,1048576,
1,8,local,14,1,46.5,1048576,
1,8,local,15,1,45.1,1048576,
1,8,local,16,1,52.2,1048576,
1,8,local,17,1,49.6,1048576,
1,8,local,18,1,42.4,1048576,
1,8,local,19,1,41.0,1048576,
1,8,local,20,1,27.5,1048576,
1,8,local,21,1,16.1,1048576,
1,8,local,22,1,14.0,1048576,
1,8,local,23,1,9.0,1048576,
1,24,local,0,1,150.2,1048576,
1,24,local,1,1,146.1,1048576,
1,24,local,2,1,119.5,1048576,
1,24,local,3,1,130.1,1048576,
1,24,local,4,1,80.5,1048576,
1,24,local,5,1,149.4,1048576,
1,24,local,6,1,112.0,1048576,
1,24,local,7,1,112.7,1048576,
1,24,local,8,1,142.1,1048576,
1,24,local,9,1,142.2,1048576,
1,24,local,10,1,137.1,1048576,
1,24,local,11,1,116.4,1048576,
1,24,local,12,1,63.4,1048576,
1,24,local,13,1,124.4,1048576,
1,24,local,14,1,116.7,1048576,
1,24,local,15,1,129.4,1048576,
1,24,local,16,1,120.1,1048576,
1,24,local,17,1,120.8,1048576,
1,24,local,18,1,110.0,1048576,
1,24,local,19,1,98.8,1048576,
1,24,local,20,1,102.2,1048576,
1,24,local,21,1,85.4,1048576,
1,24,local,22,1,86.6,1048576,
1,24,local,23,1,78.5,1048576,
1,1,remote,0,1,52.2,1048576,
1,1,remote,1,1,35.3,1048576,
1,1,remote,2,1,38.1,1048576,
1,1,remote,3,1,35.0,1048576,
1,1,remote,4,1,35.7,1048576,
1,1,remote,5,1,40.4,1048576,
1,1,remote,6,1,37.7,1048576,
1,1,remote,7,1,42.3,1048576,
1,1,remote,8,1,34.9,1048576,
1,1,remote,9,1,45.6,1048576,
1,1,remote,10,1,41.9,1048576,
1,1,remote,11,1,43.2,1048576,
1,1,remote,12,1,37.5,1048576,
1,1,remote,13,1,40.9,1048576,
1,1,remote,14,1,36.0,1048576,
1,1,remote,15,1,36.0,1048576,
1,1,remote,16,1,45.7,1048576,
1,1,remote,17,1,36.4,1048576,
1,1,remote,18,1,34.6,1048576,
1,1,remote,19,1,35.0,1048576,
1,1,remote,20,1,34.9,1048576,
1,1,remote,21,1,34.0,1048576,
1,1,remote,22,1,38.8,1048576,
1,1,remote,23,1,41.0,1048576,
1,8,remote,0,1,104.3,1048576,
1,8,remote,1,1,132.8,1048576,
1,8,remote,2,1,111.7,1048576,
1,8,remote,3,1,115.7,1048576,
1,8,remote,4,1,93.9,1048576,
1,8,remote,5,1,67.7,1048576,
1,8,remote,6,1,146.6,1048576,
1,8,remote,7,1,147.8,1048576,
1,8,remote,8,1,80.9,1048576,
1,8,remote,9,1,60.0,1048576,
1,8,remote,10,1,62.7,1048576,
1,8,remote,11,1,58.3,1048576,
1,8,remote,12,1,64.3,1048576,
1,8,remote,13,1,72.3,1048576,
1,8,remote,14,1,71.4,1048576,
1,8,remote,15,1,79.5,1048576,
1,8,remote,16,1,99.2,1048576,
1,8,remote,17,1,95.5,1048576,
1,8,remote,18,1,92.9,1048576,
1,8,remote,19,1,121.3,1048576,
1,8,remote,20,1,91.4,1048576,
1,8,remote,21,1,86.2,1048576,
1,8,remote,22,1,71.2,1048576,
1,8,remote,23,1,63.1,1048576,
1,24,remote,0,1,188.5,1048576,
1,24,remote,1,1,69.9,1048576,
1,24,remote,2,1,99.9,1048576,
1,24,remote,3,1,135.6,1048576,
1,24,remote,4,1,116.8,1048576,
1,24,remote,5,1,142.3,1048576,
1,24,remote,6,1,121.2,1048576,
1,24,remote,7,1,88.5,1048576,
1,24,remote,8,1,60.4,1048576,
1,24,remote,9,1,164.5,1048576,
1,24,remote,10,1,228.4,1048576,
1,24,remote,11,1,195.3,1048576,
1,24,remote,12,1,201.2,1048576,
1,24,remote,13,1,174.4,1048576,
1,24,remote,14,1,207.7,1048576,
1,24,remote,15,1,184.8,1048576,
1,24,remote,16,1,174.7,1048576,
1,24,remote,17,1,214.6,1048576,
1,24,remote,18,1,214.4,1048576,
1,24,remote,19,1,226.0,1048576,
1,24,remote,20,1,219.6,1048576,
1,24,remote,21,1,223.7,1048576,
1,24,remote,22,1,211.2,1048576,
1,24,remote,23,1,226.9,1048576,
10,1,local,0,1,46.0,10485760,
10,1,local,1,1,53.7,10485760,
10,1,local,2,1,70.4,10485760,
10,1,local,3,1,78.8,10485760,
10,1,local,4,1,44.0,10485760,
10,1,local,5,1,102.4,10485760,
10,1,local,6,1,61.7,10485760,
10,1,local,7,1,91.6,10485760,
10,1,local,8,1,46.4,10485760,
10,1,local,9,1,84.2,10485760,
10,1,local,10,1,49.7,10485760,
10,1,local,11,1,55.0,10485760,
10,1,local,12,1,80.5,10485760,
10,1,local,13,1,47.1,10485760,
10,1,local,14,1,49.6,10485760,
10,1,local,15,1,69.4,10485760,
10,1,local,16,1,49.1,10485760,
10,1,local,17,1,57.2,10485760,
10,1,local,18,1,71.8,10485760,
10,1,local,19,1,42.2,10485760,
10,1,local,20,1,55.2,10485760,
10,1,local,21,1,81.3,10485760,
10,1,local,22,1,48.0,10485760,
10,1,local,23,1,70.7,10485760,
10,8,local,0,1,278.5,10485760,
10,8,local,1,1,287.3,10485760,
10,8,local,2,1,201.1,10485760,
10,8,local,3,1,275.9,10485760,
10,8,local,4,1,296.6,10485760,
10,8,local,5,1,410.5,10485760,
10,8,local,6,1,321.3,10485760,
10,8,local,7,1,261.6,10485760,
10,8,local,8,1,263.2,10485760,
10,8,local,9,1,313.6,10485760,
10,8,local,10,1,260.1,10485760,
10,8,local,11,1,258.2,10485760,
10,8,local,12,1,305.9,10485760,
10,8,local,13,1,236.3,10485760,
10,8,local,14,1,274.5,10485760,
10,8,local,15,1,341.6,10485760,
10,8,local,16,1,291.4,10485760,
10,8,local,17,1,240.8,10485760,
10,8,local,18,1,268.3,10485760,
10,8,local,19,1,230.9,10485760,
10,8,local,20,1,223.9,10485760,
10,8,local,21,1,221.6,10485760,
10,8,local,22,1,190.1,10485760,
10,8,local,23,1,79.5,10485760,
10,24,local,0,1,983.4,10485760,
10,24,local,1,1,984.4,10485760,
10,24,local,2,1,951.9,10485760,
10,24,local,3,1,1006.2,10485760,
10,24,local,4,1,856.1,10485760,
10,24,local,5,1,967.8,10485760,
10,24,local,6,1,988.0,10485760,
10,24,local,7,1,953.8,10485760,
10,24,local,8,1,929.6,10485760,
10,24,local,9,1,937.1,10485760,
10,24,local,10,1,995.2,10485760,
10,24,local,11,1,976.1,10485760,
10,24,local,12,1,892.2,10485760,
10,24,local,13,1,953.7,10485760,
10,24,local,14,1,929.4,10485760,
10,24,local,15,1,948.1,10485760,
10,24,local,16,1,934.3,10485760,
10,24,local,17,1,896.7,10485760,
10,24,local,18,1,911.5,10485760,
10,24,local,19,1,848.0,10485760,
10,24,local,20,1,888.8,10485760,
10,24,local,21,1,882.6,10485760,
10,24,local,22,1,910.5,10485760,
10,24,local,23,1,778.7,10485760,
10,1,remote,0,1,242.4,10485760,
10,1,remote,1,1,243.7,10485760,
10,1,remote,2,1,223.1,10485760,
10,1,remote,3,1,250.6,10485760,
10,1,remote,4,1,217.0,10485760,
10,1,remote,5,1,218.5,10485760,
10,1,remote,6,1,205.0,10485760,
10,1,remote,7,1,224.3,10485760,
10,1,remote,8,1,214.2,10485760,
10,1,remote,9,1,230.0,10485760,
10,1,remote,10,1,197.6,10485760,
10,1,remote,11,1,221.6,10485760,
10,1,remote,12,1,222.2,10485760,
10,1,remote,13,1,218.7,10485760,
10,1,remote,14,1,218.8,10485760,
10,1,remote,15,1,191.5,10485760,
10,1,remote,16,1,214.3,10485760,
10,1,remote,17,1,211.5,10485760,
10,1,remote,18,1,249.4,10485760,
10,1,remote,19,1,222.7,10485760,
10,1,remote,20,1,228.5,10485760,
10,1,remote,21,1,218.6,10485760,
10,1,remote,22,1,229.5,10485760,
10,1,remote,23,1,264.3,10485760,
10,8,remote,0,1,602.0,10485760,
10,8,remote,1,1,557.0,10485760,
10,8,remote,2,1,579.7,10485760,
10,8,remote,3,1,499.7,10485760,
10,8,remote,4,1,548.1,10485760,
10,8,remote,5,1,501.6,10485760,
10,8,remote,6,1,620.1,10485760,
10,8,remote,7,1,550.1,10485760,
10,8,remote,8,1,452.9,10485760,
10,8,remote,9,1,450.8,10485760,
10,8,remote,10,1,492.8,10485760,
10,8,remote,11,1,499.8,10485760,
10,8,remote,12,1,500.5,10485760,
10,8,remote,13,1,483.3,10485760,
10,8,remote,14,1,497.9,10485760,
10,8,remote,15,1,489.7,10485760,
10,8,remote,16,1,463.4,10485760,
10,8,remote,17,1,476.7,10485760,
10,8,remote,18,1,498.1,10485760,
10,8,remote,19,1,544.0,10485760,
10,8,remote,20,1,513.4,10485760,
10,8,remote,21,1,537.5,10485760,
10,8,remote,22,1,508.7,10485760,
10,8,remote,23,1,528.6,10485760,
