checkpoint,function,sample,doc_id,latency_ms
1000,CheckAccess,0,LG-212,8.02
1000,CheckAccess,1,LG-768,9.93
1000,CheckAccess,2,LG-81,6.51
1000,CheckAccess,3,LG-968,6.63
1000,CheckAccess,4,LG-52,7.75
1000,CheckAccess,5,LG-811,9.92
1000,CheckAccess,6,LG-721,10.40
1000,CheckAccess,7,LG-234,8.41
1000,CheckAccess,8,LG-26,10.90
1000,CheckAccess,9,LG-473,6.33
1000,CheckAccess,10,LG-87,5.77
1000,CheckAccess,11,LG-695,7.64
1000,CheckAccess,12,LG-896,10.26
1000,CheckAccess,13,LG-47,8.12
1000,CheckAccess,14,LG-915,6.69
1000,CheckAccess,15,LG-686,7.65
1000,CheckAccess,16,LG-864,5.76
1000,CheckAccess,17,LG-471,6.95
1000,CheckAccess,18,LG-890,7.68
1000,CheckAccess,19,LG-619,8.04
1000,CheckAccess,20,LG-220,5.71
1000,CheckAccess,21,LG-308,6.38
1000,CheckAccess,22,LG-950,7.54
1000,CheckAccess,23,LG-383,8.44
1000,CheckAccess,24,LG-620,6.38
1000,CheckAccess,25,LG-917,5.63
1000,CheckAccess,26,LG-578,5.86
1000,CheckAccess,27,LG-244,5.37
1000,CheckAccess,28,LG-261,6.77
1000,CheckAccess,29,LG-481,7.02
1000,CheckAccess,30,LG-116,9.18
1000,CheckAccess,31,LG-304,6.75
1000,CheckAccess,32,LG-297,5.97
1000,CheckAccess,33,LG-314,6.21
1000,CheckAccess,34,LG-228,9.80
1000,CheckAccess,35,LG-308,7.34
1000,CheckAccess,36,LG-458,9.66
1000,CheckAccess,37,LG-920,8.73
1000,CheckAccess,38,LG-652,10.51
1000,CheckAccess,39,LG-635,11.12
1000,CheckAccess,40,LG-723,10.39
1000,CheckAccess,41,LG-910,8.64
1000,CheckAccess,42,LG-806,10.02
1000,CheckAccess,43,LG-146,11.36
1000,CheckAccess,44,LG-667,8.69
1000,CheckAccess,45,LG-765,9.25
1000,CheckAccess,46,LG-526,10.41
1000,CheckAccess,47,LG-560,9.40
1000,CheckAccess,48,LG-644,7.50
1000,CheckAccess,49,LG-466,8.35
1000,CheckAccess,50,LG-143,7.84
1000,CheckAccess,51,LG-239,6.38
1000,CheckAccess,52,LG-846,8.50
1000,CheckAccess,53,LG-750,10.58
1000,CheckAccess,54,LG-632,7.44
1000,CheckAccess,55,LG-629,7.75
1000,CheckAccess,56,LG-592,6.01
1000,CheckAccess,57,LG-380,6.65
1000,CheckAccess,58,LG-616,10.27
1000,CheckAccess,59,LG-134,9.13
1000,CheckAccess,60,LG-103,7.39
1000,CheckAccess,61,LG-375,8.87
1000,CheckAccess,62,LG-792,7.75
1000,CheckAccess,63,LG-130,9.05
1000,CheckAccess,64,LG-883,7.87
1000,CheckAccess,65,LG-909,10.84
1000,CheckAccess,66,LG-284,7.69
1000,CheckAccess,67,LG-158,8.43
1000,CheckAccess,68,LG-894,10.20
1000,CheckAccess,69,LG-674,7.56
1000,CheckAccess,70,LG-1,7.81
1000,CheckAccess,71,LG-424,8.97
1000,CheckAccess,72,LG-27,7.18
1000,CheckAccess,73,LG-37,9.55
1000,CheckAccess,74,LG-644,7.36
1000,CheckAccess,75,LG-114,8.93
1000,CheckAccess,76,LG-295,8.48
1000,CheckAccess,77,LG-236,8.89
1000,CheckAccess,78,LG-288,8.80
1000,CheckAccess,79,LG-212,4.91
1000,CheckAccess,80,LG-757,6.57
1000,CheckAccess,81,LG-691,10.92
1000,CheckAccess,82,LG-288,6.05
1000,CheckAccess,83,LG-591,10.85
1000,CheckAccess,84,LG-603,10.32
1000,CheckAccess,85,LG-234,5.10
1000,CheckAccess,86,LG-127,8.25
1000,CheckAccess,87,LG-243,8.35
1000,CheckAccess,88,LG-681,6.77
1000,CheckAccess,89,LG-257,10.69
1000,CheckAccess,90,LG-971,9.56
1000,CheckAccess,91,LG-779,6.29
1000,CheckAccess,92,LG-944,7.04
1000,CheckAccess,93,LG-390,9.95
1000,CheckAccess,94,LG-903,7.96
1000,CheckAccess,95,LG-896,7.92
1000,CheckAccess,96,LG-74,8.69
1000,CheckAccess,97,LG-724,5.74
1000,CheckAccess,98,LG-763,5.49
1000,CheckAccess,99,LG-153,6.78
1000,GetDocumentHistory,0,LG-637,5.37
1000,GetDocumentHistory,1,LG-172,7.41
1000,GetDocumentHistory,2,LG-425,7.12
1000,GetDocumentHistory,3,LG-830,4.25
1000,GetDocumentHistory,4,LG-438,5.59
1000,GetDocumentHistory,5,LG-597,5.49
1000,GetDocumentHistory,6,LG-562,4.29
1000,GetDocumentHistory,7,LG-850,3.73
1000,GetDocumentHistory,8,LG-327,5.64
