label,function,sample,latency_ms
o2p1-single,RegisterDocument,0,2158.78
o2p1-single,RegisterDocument,1,2160.04
o2p1-single,RegisterDocument,2,2161.31
o2p1-single,RegisterDocument,3,2161.94
o2p1-single,RegisterDocument,4,2164.24
o2p1-single,RegisterDocument,5,2164.41
o2p1-single,RegisterDocument,6,2164.80
o2p1-single,RegisterDocument,7,2166.34
o2p1-single,RegisterDocument,8,2166.90
o2p1-single,RegisterDocument,9,2170.02
o2p1-single,RegisterDocument,10,2171.70
o2p1-single,RegisterDocument,11,2172.60
o2p1-single,RegisterDocument,12,2174.14
o2p1-single,RegisterDocument,13,2175.05
o2p1-single,RegisterDocument,14,2175.19
o2p1-single,RegisterDocument,15,2175.45
o2p1-single,RegisterDocument,16,2175.62
o2p1-single,RegisterDocument,17,2177.71
o2p1-single,RegisterDocument,18,2179.20
o2p1-single,RegisterDocument,19,2179.97
o2p1-single,RegisterDocument,20,2180.33
o2p1-single,RegisterDocument,21,2180.33
o2p1-single,RegisterDocument,22,2180.68
o2p1-single,RegisterDocument,23,2180.76
o2p1-single,RegisterDocument,24,2182.72
o2p1-single,RegisterDocument,25,2183.07
o2p1-single,RegisterDocument,26,2183.59
o2p1-single,RegisterDocument,27,2185.01
o2p1-single,RegisterDocument,28,2185.38
o2p1-single,RegisterDocument,29,2185.98
o2p1-single,RegisterDocument,30,2186.18
o2p1-single,RegisterDocument,31,2186.82
o2p1-single,RegisterDocument,32,2186.85
o2p1-single,RegisterDocument,33,2187.55
o2p1-single,RegisterDocument,34,2187.79
o2p1-single,RegisterDocument,35,2187.85
o2p1-single,RegisterDocument,36,2187.91
o2p1-single,RegisterDocument,37,2189.57
o2p1-single,RegisterDocument,38,2189.64
o2p1-single,RegisterDocument,39,2189.72
o2p1-single,RegisterDocument,40,2190.00
o2p1-single,RegisterDocument,41,2191.23
o2p1-single,RegisterDocument,42,2191.68
o2p1-single,RegisterDocument,43,2192.26
o2p1-single,RegisterDocument,44,2193.35
o2p1-single,RegisterDocument,45,2193.47
o2p1-single,RegisterDocument,46,2194.59
o2p1-single,RegisterDocument,47,2194.77
o2p1-single,RegisterDocument,48,2195.89
o2p1-single,RegisterDocument,49,2197.01
o2p1-single,RegisterDocument,50,2197.37
o2p1-single,RegisterDocument,51,2198.70
o2p1-single,RegisterDocument,52,2198.86
o2p1-single,RegisterDocument,53,2199.16
o2p1-single,RegisterDocument,54,2199.91
o2p1-single,RegisterDocument,55,2200.05
o2p1-single,RegisterDocument,56,2200.11
o2p1-single,RegisterDocument,57,2200.59
o2p1-single,RegisterDocument,58,2201.99
o2p1-single,RegisterDocument,59,2203.13
o2p1-single,RegisterDocument,60,2203.26
o2p1-single,RegisterDocument,61,2203.39
o2p1-single,RegisterDocument,62,2203.97
o2p1-single,RegisterDocument,63,2204.27
o2p1-single,RegisterDocument,64,2204.55
o2p1-single,RegisterDocument,65,2205.01
o2p1-single,RegisterDocument,66,2205.08
o2p1-single,RegisterDocument,67,2205.09
o2p1-single,RegisterDocument,68,2205.56
o2p1-single,RegisterDocument,69,2205.57
o2p1-single,RegisterDocument,70,2206.18
o2p1-single,RegisterDocument,71,2206.36
o2p1-single,RegisterDocument,72,2206.39
o2p1-single,RegisterDocument,73,2206.43
o2p1-single,RegisterDocument,74,2206.87
o2p1-single,RegisterDocument,75,2207.03
o2p1-single,RegisterDocument,76,2207.26
o2p1-single,RegisterDocument,77,2207.40
o2p1-single,RegisterDocument,78,2207.43
o2p1-single,RegisterDocument,79,2208.30
o2p1-single,RegisterDocument,80,2208.30
o2p1-single,RegisterDocument,81,2208.39
o2p1-single,RegisterDocument,82,2208.59
o2p1-single,RegisterDocument,83,2208.99
o2p1-single,RegisterDocument,84,2209.22
o2p1-single,RegisterDocument,85,2209.47
o2p1-single,RegisterDocument,86,2210.02
o2p1-single,RegisterDocument,87,2210.03
o2p1-single,RegisterDocument,88,2210.24
o2p1-single,RegisterDocument,89,2210.40
o2p1-single,RegisterDocument,90,2210.80
o2p1-single,RegisterDocument,91,2210.84
o2p1-single,RegisterDocument,92,2210.94
o2p1-single,RegisterDocument,93,2211.49
o2p1-single,RegisterDocument,94,2211.51
o2p1-single,RegisterDocument,95,2211.77
o2p1-single,RegisterDocument,96,2212.32
o2p1-single,RegisterDocument,97,2212.36
o2p1-single,RegisterDocument,98,2212.60
o2p1-single,RegisterDocument,99,2212.62
o2p1-single,RegisterDocument,100,2212.67
o2p1-single,RegisterDocument,101,2212.73
o2p1-single,RegisterDocument,102,2212.91
o2p1-single,RegisterDocument,103,2212.97
o2p1-single,RegisterDocument,104,2213.12
o2p1-single,RegisterDocument,105,2213.63
o2p1-single,RegisterDocument,106,2213.82
o2p1-single,RegisterDocument,107,2214.48
o2p1-single,RegisterDocument,108,2214.51
o2p1-single,RegisterDocument,109,2214.75
o2p1-single,RegisterDocument,110,2215.45
o2p1-single,RegisterDocument,111,2216.09
o2p1-single,RegisterDocument,112,2216.16
o2p1-single,RegisterDocument,113,2216.22
o2p1-single,RegisterDocument,114,2216.32
o2p1-single,RegisterDocument,115,2216.33
o2p1-single,RegisterDocument,116,2216.56
o2p1-single,RegisterDocument,117,2217.19
o2p1-single,RegisterDocument,118,2217.26
