legalcc,8.609MiB / 7.125GiB,0.02%
peer0.org5.pangochain.com,53.26MiB / 7.125GiB,2.39%
peer0.org3.pangochain.com,55.05MiB / 7.125GiB,1.82%
peer0.org2.pangochain.com,71.68MiB / 7.125GiB,3.24%
peer0.org1.pangochain.com,57.55MiB / 7.125GiB,1.83%
peer0.org4.pangochain.com,57.36MiB / 7.125GiB,2.51%
couchdb.org5.p0,58.02MiB / 7.125GiB,4.72%
couchdb.org2.p0,60.83MiB / 7.125GiB,4.70%
couchdb.org4.p0,62.08MiB / 7.125GiB,4.75%
couchdb.org1.p0,64.72MiB / 7.125GiB,4.82%
couchdb.org3.p0,61.1MiB / 7.125GiB,3.98%
orderer1.pangochain.com,23.14MiB / 7.125GiB,0.77%
orderer2.pangochain.com,20.29MiB / 7.125GiB,0.85%
orderer3.pangochain.com,18.76MiB / 7.125GiB,0.72%
