legalcc,9.879MiB / 7.125GiB,0.04%
peer0.org7.pangochain.com,65.99MiB / 7.125GiB,4.73%
peer0.org6.pangochain.com,66.15MiB / 7.125GiB,3.24%
peer0.org1.pangochain.com,74.48MiB / 7.125GiB,0.53%
peer0.org5.pangochain.com,68.2MiB / 7.125GiB,3.10%
peer0.org2.pangochain.com,64MiB / 7.125GiB,2.99%
peer0.org4.pangochain.com,65.07MiB / 7.125GiB,3.52%
peer0.org3.pangochain.com,72.11MiB / 7.125GiB,3.20%
couchdb.org7.p0,61.65MiB / 7.125GiB,4.94%
couchdb.org6.p0,62.95MiB / 7.125GiB,5.85%
couchdb.org1.p0,62.1MiB / 7.125GiB,5.72%
couchdb.org2.p0,64.42MiB / 7.125GiB,5.43%
couchdb.org4.p0,60.99MiB / 7.125GiB,5.62%
couchdb.org5.p0,62.87MiB / 7.125GiB,5.36%
couchdb.org3.p0,62.55MiB / 7.125GiB,4.46%
orderer2.pangochain.com,20.52MiB / 7.125GiB,0.94%
orderer3.pangochain.com,25.01MiB / 7.125GiB,0.73%
orderer1.pangochain.com,28.15MiB / 7.125GiB,0.67%
