label,function,sample,latency_ms
o7p1-majority,RegisterDocument,0,2607.59
o7p1-majority,RegisterDocument,1,2622.96
o7p1-majority,RegisterDocument,2,2626.09
o7p1-majority,RegisterDocument,3,2627.39
o7p1-majority,RegisterDocument,4,2627.58
o7p1-majority,RegisterDocument,5,2630.58
o7p1-majority,RegisterDocument,6,2631.56
o7p1-majority,RegisterDocument,7,2633.38
o7p1-majority,RegisterDocument,8,2637.79
o7p1-majority,RegisterDocument,9,2639.87
o7p1-majority,RegisterDocument,10,2640.63
o7p1-majority,RegisterDocument,11,2641.07
o7p1-majority,RegisterDocument,12,2643.29
o7p1-majority,RegisterDocument,13,2644.06
o7p1-majority,RegisterDocument,14,2646.12
o7p1-majority,RegisterDocument,15,2646.52
o7p1-majority,RegisterDocument,16,2646.93
o7p1-majority,RegisterDocument,17,2646.93
o7p1-majority,RegisterDocument,18,2648.59
o7p1-majority,RegisterDocument,19,2649.18
o7p1-majority,RegisterDocument,20,2649.41
o7p1-majority,RegisterDocument,21,2649.88
o7p1-majority,RegisterDocument,22,2650.45
o7p1-majority,RegisterDocument,23,2650.77
o7p1-majority,RegisterDocument,24,2651.54
o7p1-majority,RegisterDocument,25,2652.91
o7p1-majority,RegisterDocument,26,2654.77
o7p1-majority,RegisterDocument,27,2656.86
o7p1-majority,RegisterDocument,28,2657.11
o7p1-majority,RegisterDocument,29,2657.18
o7p1-majority,RegisterDocument,30,2657.61
o7p1-majority,RegisterDocument,31,2659.38
o7p1-majority,RegisterDocument,32,2660.34
o7p1-majority,RegisterDocument,33,2660.61
o7p1-majority,RegisterDocument,34,2660.74
o7p1-majority,RegisterDocument,35,2660.88
o7p1-majority,RegisterDocument,36,2660.95
o7p1-majority,RegisterDocument,37,2661.89
o7p1-majority,RegisterDocument,38,2661.96
o7p1-majority,RegisterDocument,39,2662.85
o7p1-majority,RegisterDocument,40,2663.78
o7p1-majority,RegisterDocument,41,2664.11
o7p1-majority,RegisterDocument,42,2664.52
o7p1-majority,RegisterDocument,43,2665.64
o7p1-majority,RegisterDocument,44,2665.68
o7p1-majority,RegisterDocument,45,2666.07
o7p1-majority,RegisterDocument,46,2666.65
