legalcc,13.71MiB / 7.125GiB,0.04%
peer0.org3.pangochain.com,76.9MiB / 7.125GiB,6.10%
peer0.org2.pangochain.com,65.57MiB / 7.125GiB,3.58%
peer0.org7.pangochain.com,65.4MiB / 7.125GiB,4.25%
peer0.org6.pangochain.com,65.83MiB / 7.125GiB,4.14%
peer0.org5.pangochain.com,64.31MiB / 7.125GiB,3.88%
peer0.org4.pangochain.com,68.35MiB / 7.125GiB,4.09%
peer0.org1.pangochain.com,68.73MiB / 7.125GiB,4.08%
couchdb.org2.p0,61.71MiB / 7.125GiB,0.18%
couchdb.org3.p0,61.64MiB / 7.125GiB,5.57%
couchdb.org7.p0,62.21MiB / 7.125GiB,5.41%
couchdb.org6.p0,61.96MiB / 7.125GiB,5.41%
couchdb.org5.p0,64.64MiB / 7.125GiB,5.90%
couchdb.org4.p0,63.01MiB / 7.125GiB,5.19%
couchdb.org1.p0,65.35MiB / 7.125GiB,5.41%
orderer2.pangochain.com,32.91MiB / 7.125GiB,1.06%
orderer3.pangochain.com,24.33MiB / 7.125GiB,0.76%
orderer1.pangochain.com,27.52MiB / 7.125GiB,0.76%
