phase,epoch_s,iso,block_height,peer_production_bytes,blockstore_bytes,couchdb_bytes
idle,1785569318,2026-08-01T13:28:38+06:00,1010,12077137,11410741,3305881
idle,1785569378,2026-08-01T13:29:38+06:00,1011,12082723,11416204,3363225
idle,1785569439,2026-08-01T13:30:39+06:00,1012,12088329,11421687,3420569
idle,1785569499,2026-08-01T13:31:39+06:00,1013,12093914,11427149,3477913
idle,1785569559,2026-08-01T13:32:39+06:00,1014,12099520,11432632,3535257
idle,1785569619,2026-08-01T13:33:39+06:00,1015,12105103,11438092,3592601
idle,1785569680,2026-08-01T13:34:40+06:00,1016,12110686,11443552,3649945
idle,1785569740,2026-08-01T13:35:40+06:00,1017,12116299,11449042,3707289
idle,1785569800,2026-08-01T13:36:40+06:00,1018,12121883,11454503,3764633
idle,1785569861,2026-08-01T13:37:41+06:00,1019,12127468,11459965,3821977
idle,1785569921,2026-08-01T13:38:41+06:00,1020,12133050,11465424,3879321
idle,1785569981,2026-08-01T13:39:41+06:00,1021,12138653,11470904,3936665
idle,1785570041,2026-08-01T13:40:41+06:00,1022,12144236,11476364,3994009
idle,1785570102,2026-08-01T13:41:42+06:00,1023,12149819,11481824,3068313
idle,1785570162,2026-08-01T13:42:42+06:00,1024,12155404,11487286,3125657
idle,1785570222,2026-08-01T13:43:42+06:00,1025,12161009,11492768,3183001
idle,1785570283,2026-08-01T13:44:43+06:00,1026,12166613,11498249,3240345
idle,1785570343,2026-08-01T13:45:43+06:00,1027,12172216,11503729,3297689
idle,1785570403,2026-08-01T13:46:43+06:00,1028,12177822,11509212,3355033
idle,1785570463,2026-08-01T13:47:43+06:00,1029,12183406,11514673,3412377
idle,1785570524,2026-08-01T13:48:44+06:00,1030,12188989,11520133,3469721
load_start,1785570744,2026-08-01T13:52:24+06:00,1033,12205801,11536576,3645849
load_end,1785570860,2026-08-01T13:54:20+06:00,1083,24077844,23048726,7999897
