experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,pbkdf2_sha256_600k_aes256,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,156.73707,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,158.036918,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,145.990894,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,149.345801,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,151.825523,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,157.521215,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,139.750822,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,143.28027,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,152.21949,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,pbkdf2_sha256_600k_aes256,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,157.55719,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. 600000 iterations, 32-byte salt, 256-bit output."
exp6_crypto,ecdh_p256_keygen,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.579211,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.255452,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.525937,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.298976,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.262331,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.246916,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.188467,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.123286,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.153501,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.121085,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.377735,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.149181,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
